Time,Current
0.0,5.0
0.01,4.990133642141358
0.02,4.9605735065723895
0.03,4.911436253643443
0.04,4.842915805643155
0.05,4.755282581475767
0.06,4.648882429441257
0.07,4.524135262330097
0.08,4.381533400219318
0.09,4.221639627510076
0.1,4.045084971874737
0.11,3.852566213878946
0.12,3.644843137107058
0.13,3.422735529643443
0.14,3.1871199487434483
0.15,2.938926261462366
0.16,2.6791339748949827
0.17,2.4087683705085756
0.18,2.1288964578253635
0.19,1.8406227634233905
0.2,1.5450849718747373
0.21,1.243449435824275
0.22,0.9369065729286237
0.23,0.6266661678215213
0.24,0.31395259764656763
0.25,3.061616997868383e-16
0.26,-0.313952597646567
0.27,-0.6266661678215218
0.28,-0.9369065729286241
0.29,-1.2434494358242731
0.3,-1.5450849718747368
0.31,-1.8406227634233898
0.32,-2.1288964578253635
0.33,-2.408768370508577
0.34,-2.6791339748949845
0.35,-2.938926261462365
0.36,-3.1871199487434487
0.37,-3.4227355296434436
0.38,-3.6448431371070567
0.39,-3.8525662138789456
0.4,-4.045084971874736
0.41,-4.221639627510074
0.42,-4.381533400219317
0.43,-4.5241352623300966
0.44,-4.648882429441256
0.45,-4.755282581475767
0.46,-4.842915805643155
0.47,-4.911436253643443
0.48,-4.960573506572389
0.49,-4.990133642141358
0.5,-5.0
0.51,-4.990133642141358
0.52,-4.9605735065723895
0.53,-4.911436253643443
0.54,-4.842915805643155
0.55,-4.755282581475767
0.56,-4.648882429441256
0.57,-4.524135262330098
0.58,-4.381533400219318
0.59,-4.221639627510076
0.6,-4.045084971874737
0.61,-3.852566213878946
0.62,-3.644843137107058
0.63,-3.422735529643445
0.64,-3.1871199487434474
0.65,-2.9389262614623664
0.66,-2.679133974894982
0.67,-2.4087683705085765
0.68,-2.128896457825361
0.69,-1.840622763423393
0.7,-1.5450849718747377
0.71,-1.2434494358242765
0.72,-0.9369065729286231
0.73,-0.626666167821523
0.74,-0.313952597646566
0.75,-9.184850993605148e-16
0.76,0.31395259764656414
0.77,0.6266661678215212
0.78,0.9369065729286213
0.79,1.2434494358242747
0.8,1.5450849718747361
0.81,1.8406227634233914
0.82,2.128896457825359
0.83,2.4087683705085747
0.84,2.67913397489498
0.85,2.9389262614623646
0.86,3.1871199487434465
0.87,3.422735529643443
0.88,3.644843137107056
0.89,3.852566213878947
0.9,4.045084971874736
0.91,4.221639627510076
0.92,4.381533400219318
0.93,4.524135262330098
0.94,4.648882429441255
0.95,4.755282581475767
0.96,4.8429158056431545
0.97,4.911436253643443
0.98,4.960573506572389
0.99,4.990133642141358
1.0,5.0
1.01,4.990133642141358
1.02,4.9605735065723895
1.03,4.911436253643443
1.04,4.842915805643155
1.05,4.755282581475768
1.06,4.648882429441256
1.07,4.524135262330098
1.08,4.3815334002193165
1.09,4.221639627510076
1.1,4.0450849718747355
1.11,3.852566213878945
1.12,3.644843137107055
1.13,3.422735529643448
1.14,3.1871199487434514
1.15,2.9389262614623703
1.16,2.6791339748949854
1.17,2.408768370508581
1.18,2.1288964578253653
1.19,1.8406227634233938
1.2,1.5450849718747386
1.21,1.2434494358242771
1.22,0.9369065729286237
1.23,0.6266661678215236
1.24,0.3139525976465666
1.25,1.5308084989341915e-15
1.26,-0.3139525976465635
1.27,-0.6266661678215206
1.28,-0.9369065729286251
1.29,-1.243449435824274
1.3,-1.5450849718747355
1.31,-1.8406227634233865
1.32,-2.1288964578253666
1.33,-2.408768370508578
1.34,-2.679133974894983
1.35,-2.9389262614623646
1.36,-3.1871199487434527
1.37,-3.422735529643446
1.38,-3.6448431371070527
1.39,-3.8525662138789407
1.4,-4.045084971874736
1.41,-4.221639627510074
1.42,-4.381533400219316
1.43,-4.524135262330095
1.44,-4.648882429441257
1.45,-4.755282581475767
1.46,-4.8429158056431545
1.47,-4.911436253643442
1.48,-4.9605735065723895
1.49,-4.990133642141358
1.5,-5.0
1.51,-4.990133642141358
1.52,-4.9605735065723895
1.53,-4.911436253643443
1.54,-4.842915805643155
1.55,-4.755282581475768
1.56,-4.648882429441258
1.57,-4.5241352623300966
1.58,-4.381533400219317
1.59,-4.221639627510076
1.6,-4.045084971874738
1.61,-3.852566213878943
1.62,-3.644843137107055
1.63,-3.4227355296434485
1.64,-3.1871199487434554
1.65,-2.9389262614623672
1.66,-2.6791339748949863
1.67,-2.4087683705085814
1.68,-2.1288964578253697
1.69,-1.84062276342339
1.7,-1.5450849718747393
1.71,-1.2434494358242778
1.72,-0.9369065729286287
1.73,-0.6266661678215197
1.74,-0.31395259764656724
1.75,-2.1431318985078682e-15
1.76,0.31395259764656297
1.77,0.6266661678215156
1.78,0.9369065729286246
1.79,1.2434494358242736
1.8,1.545084971874735
1.81,1.840622763423386
1.82,2.128896457825366
1.83,2.4087683705085774
1.84,2.6791339748949827
1.85,2.938926261462364
1.86,3.187119948743452
1.87,3.4227355296434454
1.88,3.644843137107052
1.89,3.8525662138789403
1.9,4.0450849718747355
1.91,4.221639627510073
1.92,4.381533400219315
1.93,4.524135262330095
1.94,4.648882429441256
1.95,4.755282581475767
1.96,4.8429158056431545
1.97,4.911436253643442
1.98,4.9605735065723895
1.99,4.990133642141358
2.0,5.0
2.01,4.990133642141359
2.02,4.9605735065723895
2.03,4.911436253643445
2.04,4.842915805643156
2.05,4.755282581475772
2.06,4.648882429441258
2.07,4.5241352623301
2.08,4.381533400219317
2.09,4.22163962751008
2.1,4.045084971874739
2.11,3.852566213878949
2.12,3.6448431371070553
2.13,3.4227355296434494
2.14,3.187119948743449
2.15,2.9389262614623677
2.16,2.679133974894979
